Nombre,Peso,Categoria,Año,BV,Precio,A,C,V,Tech Base,Flamer,MG,Small Laser,Medium Laser,Large Laser,ER Small Laser,ER Medium Laser,ER Large Laser,Small Pulse Laser,Medium Pulse Laser,Large Pulse Laser,Heavy Small Laser,Heavy Medium Laser,Heavy Large Laser,PPC,ER PPC,Snub-Nose PPC,Heavy PPC,LRM 5,LRM 10,LRM 15,LRM 20,SRM 2,SRM 4,SRM 6,Streak SRM 2,Streak SRM 4,Streak SRM 6,MRM 10,MRM 20,MRM 30,MRM 40,ATM 3,ATM 6,ATM 9,ATM 12,AC 2,AC 5,AC 10,AC 20,Ultra AC 2,Ultra AC 5,Ultra AC 10,Ultra AC 20,LB 2-X,LB 5-X,LB 10-X,LB 20-X,RAC 2,RAC 5,Gauss Rifle,Heavy Gauss,Plasma Rifle / Cannon,Radiadores,TB,PB,Piernas,Blindaje,Disipacion,TLP,Calor,Daño,Reactor,PROPIEDAD,Comprado,Unidad
Carbine CON-1 ConstructionMech Carbine,30,Ligero,2691,198,1165300,4,6,0,Inner Sphere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"2,0",32,2,Estandar,Single,0,,0,0,I.C.E. Engine,Compra,NO
Carbine CON-7 ConstructionMech Carbine,30,Ligero,3028,198,1165300,4,6,0,Inner Sphere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"2,0",32,2,Estandar,Single,0,,0,0,I.C.E. Engine,Compra,NO
Carbine CON-7M ConstructionMech MOD Carbine,30,Ligero,3078,306,1225500,4,6,0,Inner Sphere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"2,0",32,2,Estandar,Single,3,,0,0,I.C.E. Engine,Compra,NO
Carbine CON-8 ConstructionMech Carbine,30,Ligero,3066,185,1493712,4,6,0,Inner Sphere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"2,0",32,2,Estandar,Single,0,,0,0,I.C.E. Engine,Compra,NO
Carbine CON-8H HaulerMech Carbine,30,Ligero,3070,177,1493712,4,6,0,Inner Sphere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"2,0",32,2,Estandar,Single,0,,0,0,I.C.E. Engine,Compra,NO
Carbine CON-9 ConstructionMech Carbine,30,Ligero,3071,246,1181425,4,6,0,Inner Sphere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"3,0",48,2,Estandar,Single,0,,0,0,I.C.E. Engine,Compra,NO
Carbine CON-9M ConstructionMech MOD Carbine,30,Ligero,3078,289,1042075,3,5,0,Inner Sphere,,2,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"2,5",40,2,Estandar,Single,1,,4,14,I.C.E. Engine,Compra,NO
Carbine CON-9M-B ConstructionMech MOD Carbine,30,Ligero,3078,293,1356405,4,6,0,Inner Sphere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"3,0",48,2,Estandar,Single,1,,0,0,I.C.E. Engine,Compra,NO
Carrion Crow  Carrion Crow,40,Medio,3145,2397,14926829,7,11,6,Clan,,,,,,2,,2,,2,,,5,,,1,,,,,,,,,,,,3,,,,,,,1,,,,,,,,,,,,,,,,2,,,10,"8,3",133,2,Ferro Fibroso,Double,20,,106,178,XL Engine,Compra,NO
Carronade CRN-7M Carronade,70,Pesado,3102,1799,14174273,4,6,0,Inner Sphere,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,10,"13,5",216,2,Estandar,Double,20,,16,30,XL Engine,Compra,NO
Cataphract CTF-1X KKK Cataphract,70,Pesado,3025,1365,6231853,4,6,4,Inner Sphere,,,,2,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,14,"11,0",176,2,Estandar,Single,14,,19,30,Fusion Engine,Compra,NO
Cataphract CTF-1X Cataphract,70,Pesado,3025,1316,5993853,4,6,0,Inner Sphere,,,,4,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,16,"11,0",176,2,Estandar,Single,16,,25,40,Fusion Engine,Compra,NO
Cataphract CTF-2X Cataphract,70,Pesado,3027,1344,5850053,4,6,0,Inner Sphere,,,,2,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,14,"13,0",208,2,Estandar,Single,14,,20,36,Fusion Engine,Compra,NO
Cataphract CTF-3D Cataphract,70,Pesado,3050,1325,13583653,4,6,4,Inner Sphere,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,16,"11,0",176,2,Estandar,Single,16,,15,35,XL Engine,Compra,NO
Cataphract CTF-3L Cataphract,70,Pesado,3050,1545,15370703,4,6,0,Inner Sphere,,,,,,,,,,4,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,16,"11,0",176,2,Estandar,Double,32,,33,44,XL Engine,Compra,NO
Cataphract CTF-3LL Cataphract,70,Pesado,3068,1664,15400703,4,6,0,Inner Sphere,,,,,,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,16,"11,0",176,2,Estandar,Double,32,,30,42,XL Engine,Compra,NO
Cataphract CTF-3X (Sara) Cataphract,70,Pesado,3062,1734,6871753,4,6,0,Inner Sphere,,,,,,,2,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,14,"13,4",215,2,Ferro Fibroso,Double,28,,26,31,Fusion Engine,Compra,NO
Cataphract CTF-4L Cataphract,70,Pesado,3067,2002,7998833,4,6,0,Inner Sphere,,,,,,,2,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,13,"13,5",216,2,Furtivo,Double,26,,26,35,Fusion Engine,Compra,NO
Cataphract CTF-4X Cataphract,70,Pesado,3029,1216,5216000,3,5,0,Inner Sphere,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,16,"13,6",217,2,Estandar,Single,16,,12,23,Fusion Engine,Compra,NO
Cataphract CTF-5D Cataphract,70,Pesado,3070,1742,13951920,4,6,6,Inner Sphere,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,14,"12,0",192,2,Furtivo,Double,28,,20,20,Light Fusion Engine,Compra,NO
Cataphract CTF-5L Cataphract,70,Pesado,3150,2090,7649653,4,6,0,Inner Sphere,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,12,"13,5",216,2,Estandar,Double,24,,22,35,Fusion Engine,Compra,NO
Catapult CPLT-A1 Catapult,65,Pesado,2563,1285,5580125,4,6,4,Inner Sphere,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,"12,0",192,2,Estandar,Single,15,,10,30,Fusion Engine,Compra,NO
Catapult CPLT-C1 (Jenny) 'Butterbee' Catapult,65,Pesado,3027,1242,5749625,4,6,4,Inner Sphere,,,,4,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,"10,0",160,2,Estandar,Single,15,,28,68,Fusion Engine,Compra,NO
Catapult CPLT-C1 Salazar Mk II Catapult,65,Pesado,3070,1694,6452375,4,6,4,Inner Sphere,,,,4,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,"13,2",211,2,Estandar,Double,24,,22,50,Fusion Engine,Compra,NO
Catapult CPLT-C1 Salazar Catapult,65,Pesado,2561,1416,5764325,4,6,4,Inner Sphere,,,,4,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,"11,0",176,2,Estandar,Single,14,,22,50,Fusion Engine,Compra,NO
Catapult CPLT-C1b Catapult,65,Pesado,2688,1570,6243425,4,6,4,Inner Sphere,,,,4,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,"11,2",179,2,Ferro Fibroso,Double,24,,22,50,Fusion Engine,Compra,NO
Catapult CPLT-C2 Catapult,65,Pesado,3062,1346,12307075,4,6,4,Inner Sphere,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,10,"11,5",184,2,Estandar,Double,20,,12,34,XL Engine,Compra,NO
Catapult CPLT-C3 Catapult,65,Pesado,3049,1368,5866125,4,6,4,Inner Sphere,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,"10,0",160,2,Estandar,Single,15,,12,20,Fusion Engine,Compra,NO
Catapult CPLT-C4 Catapult,65,Pesado,2565,1358,5815250,4,6,4,Inner Sphere,,,2,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,"10,0",160,2,Estandar,Single,10,,14,46,Fusion Engine,Compra,NO
Catapult CPLT-C4C Catapult,65,Pesado,3055,1449,11975525,4,6,4,Inner Sphere,,,,,1,,,,1,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,"10,0",160,2,Estandar,Double,20,,22,51,XL Engine,Compra,NO
Catapult CPLT-C5 Catapult,65,Pesado,3061,1748,6524875,4,6,4,Inner Sphere,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,"12,5",200,2,Estandar,Double,24,,20,20,Fusion Engine,Compra,NO
Catapult CPLT-C5A Catapult,65,Pesado,3068,1772,6819875,4,6,4,Inner Sphere,,,,,,,4,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,"12,5",200,2,Estandar,Double,24,,30,50,Fusion Engine,Compra,NO
Catapult CPLT-C6 Catapult,65,Pesado,3069,1874,6416075,4,6,4,Inner Sphere,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,15,"12,5",200,2,Estandar,Double,30,,30,30,Fusion Engine,Compra,NO
Catapult CPLT-H2 Catapult,65,Pesado,3064,1473,6034325,4,6,4,Inner Sphere,,,,2,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,"11,0",176,2,Estandar,Double,26,,16,20,Fusion Engine,Compra,NO
Catapult CPLT-K2 Catapult,65,Pesado,2603,1319,5348925,4,6,0,Inner Sphere,,2,,2,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,"11,0",176,2,Estandar,Single,20,,26,34,Fusion Engine,Compra,NO
Catapult CPLT-K2BL Catapult,65,Pesado,3058,1600,11682275,4,6,4,Inner Sphere,,,,,,,,,,4,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,"13,2",211,2,Estandar,Double,32,,36,44,XL Engine,Compra,NO
Catapult CPLT-K2K Catapult,65,Pesado,3058,1716,13930674,5,8,0,Inner Sphere,,,,,,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,"13,2",211,2,Estandar,Double,40,,40,30,XL Engine,Compra,NO
Catapult CPLT-K3 Catapult,65,Pesado,3047,1437,5843925,4,6,0,Inner Sphere,,2,,2,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,"11,0",176,2,Estandar,Double,40,,36,34,Fusion Engine,Compra,NO
Catapult CPLT-K4 Catapult,65,Pesado,3068,1880,5537400,3,5,3,Inner Sphere,,,,,,,2,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,"13,2",211,2,Ferro Fibroso,Double,34,,40,40,Fusion Engine,Compra,NO
Catapult CPLT-K5 Catapult,65,Pesado,3058,1457,12236875,4,6,4,Inner Sphere,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,12,"12,5",200,2,Estandar,Double,24,,28,72,XL Engine,Compra,NO
Catapult CPLT-K6 Catapult,65,Pesado,3150,1619,9625850,3,5,3,Inner Sphere,,,,,,4,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,"13,2",211,2,Ferro Fibroso,Double,20,,18,42,XL Engine,Compra,NO
Catapult II CPLT-L7 Catapult II,70,Pesado,3135,2574,16237133,4,6,4,Inner Sphere,,,,,,,2,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,"10,5",168,2,Estandar,Double,20,,22,50,XL Engine,Compra,NO
Catapult II CPLT-L7L Catapult II,70,Pesado,3136,1656,14325883,4,6,4,Inner Sphere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,10,"11,6",185,2,Estandar,Double,20,,20,20,XL Engine,Compra,NO
CattleMaster CTL-3R 'Herder' IndustrialMech CattleMaster,25,Ligero,3024,228,725333,4,6,0,Inner Sphere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"3,0",48,2,Estandar,Single,0,,0,0,I.C.E. Engine,Compra,NO
CattleMaster CTL-3R2 'Hunter' IndustrialMech CattleMaster,25,Ligero,3024,245,852802,4,6,0,Inner Sphere,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"3,0",48,2,Estandar,Single,1,,2,12,I.C.E. Engine,Compra,NO
CattleMaster CTL-3R3 SecurityMech CattleMaster,25,Ligero,3072,358,1028364,4,6,0,Inner Sphere,,2,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"4,0",64,2,Estandar,Single,3,,5,14,Fuel-Cell Engine,Compra,NO
Cattlemaster RA-4 'Hunter' Cattlemaster,25,Ligero,3024,260,855458,4,6,0,Inner Sphere,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"3,3",53,2,Estandar,Single,1,,2,12,I.C.E. Engine,Compra,NO
Cauldron-Born (Ebon Jaguar)  Cauldron-Born (Ebon Jaguar),65,Pesado,3047,1952,18123281,5,8,5,Clan,1,2,,,,3,7,3,1,7,5,,2,1,,3,,,,4,2,,1,,2,,,,,,,,,,,1,,,,,2,,2,3,,1,,,,1,1,,,13,"11,4",182,2,Ferro Fibroso,Double,26,,318,461,XL Engine,Compra,NO
Cave Lion  Cave Lion,75,Pesado,3122,3044,20465750,5,8,0,Clan,,,,,,,,,,4,,,,,,2,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,17,"12,0",192,2,Estandar,Double,34,,48,50,XL Engine,Compra,NO
Celerity CLR-03-O Celerity,15,Ligero,3138,187,12391250,16,24,0,Inner Sphere,2,,,,,,1,,,,,,1,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,"1,5",24,4,Estandar,Double,20,,26,43,XXL Engine,Compra,NO
Celerity CLR-04-R Celerity,15,Ligero,3145,384,7532499,15,23,0,Inner Sphere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,"1,0",16,4,Estandar,Double,20,,0,0,XXL Engine,Compra,NO
Celerity CLR-05-X Celerity,15,Ligero,3145,225,10373057,16,24,0,Inner Sphere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,"1,8",28,4,Estandar,Double,20,,0,0,XXL Engine,Compra,NO
Centurion CN10-B Centurion,55,Medio,3057,1243,5095053,4,6,0,Inner Sphere,,,,1,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,10,"11,5",184,2,Estandar,Single,10,,13,31,Fusion Engine,Compra,NO
Centurion CN10-D Centurion,55,Medio,3150,1260,9556470,4,6,0,Inner Sphere,,,,,,,1,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,10,"11,6",185,2,Ferro Fibroso,Double,20,,21,35,Light Fusion Engine,Compra,NO
Centurion CN11-O Centurion,50,Medio,3111,1075,12911062,5,8,5,Inner Sphere,,,,,,1,9,,,,,,,,,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,1,10,"9,5",152,2,Estandar,Double,20,,84,123,XL Engine,Compra,NO
Centurion CN9-A Centurion,50,Medio,2801,945,3455500,4,6,0,Inner Sphere,,,,2,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,10,"8,5",136,2,Estandar,Single,10,,13,30,Fusion Engine,Compra,NO
Centurion CN9-AH Centurion,50,Medio,2874,945,3489750,4,6,0,Inner Sphere,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,10,"8,5",136,2,Estandar,Single,10,,11,30,Fusion Engine,Compra,NO
Centurion CN9-AL Centurion,50,Medio,2915,1057,3365875,4,6,0,Inner Sphere,,,1,2,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,"10,6",169,2,Estandar,Single,16,,19,31,Fusion Engine,Compra,NO
Centurion CN9-Ar Centurion,50,Medio,3072,1226,3863500,4,6,0,Inner Sphere,,,,1,,,,,,1,,,,,1,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,"8,5",136,2,Estandar,Double,20,,36,46,Fusion Engine,Compra,NO
Centurion CN9-D Centurion,50,Medio,3049,1130,9600500,6,9,0,Inner Sphere,,,,2,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,10,"8,5",136,2,Estandar,Single,10,,12,30,XL Engine,Compra,NO
Centurion CN9-D3 Centurion,50,Medio,3052,1324,10650500,6,9,0,Inner Sphere,,,,2,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,10,"8,5",136,2,Estandar,Single,10,,12,30,XL Engine,Compra,NO
Centurion CN9-D3D Centurion,50,Medio,3060,1373,10568500,6,9,0,Inner Sphere,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,10,"8,9",143,2,Ferro Fibroso,Single,10,,10,30,XL Engine,Compra,NO
Centurion CN9-D4D Centurion,50,Medio,3066,1369,9666250,5,8,0,Inner Sphere,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,10,"8,9",143,2,Ferro Fibroso,Single,10,,11,35,XL Engine,Compra,NO
Centurion CN9-D5 Centurion,50,Medio,3062,1738,10992000,6,9,0,Inner Sphere,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,10,"9,5",152,2,Estandar,Double,20,,11,15,XL Engine,Compra,NO
Centurion CN9-D9 Centurion,50,Medio,3071,1638,11553500,6,9,6,Inner Sphere,,,,,,,2,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,10,"9,5",152,2,Ferro Fibroso,Double,20,,24,30,XL Engine,Compra,NO
Centurion CN9-Da Centurion,50,Medio,3076,1035,9210000,6,9,0,Inner Sphere,,,,2,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,10,"8,5",136,2,Estandar,Single,10,,11,25,XL Engine,Compra,NO
Centurion CN9-YLW 'Yen Lo Wang' Centurion,50,Medio,3027,957,3439750,4,6,0,Inner Sphere,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,10,"8,5",136,2,Estandar,Single,10,,13,30,Fusion Engine,Compra,NO
Centurion CN9-YLW2 'Yen Lo Wang' Centurion,50,Medio,3051,1435,7653499,4,6,0,Inner Sphere,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,10,"8,5",136,2,Estandar,Single,10,,13,33,XL Engine,Compra,NO
Cephalus  Cephalus,25,Ligero,3072,1038,23845052,10,15,7,Mixed,1,,,,,,,1,,,,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,10,"5,2",84,2,Ferro Fibroso,Double,20,,49,44,XXL Engine,Compra,NO
Cerberus MR-5M Cerberus,95,Asalto,3055,2057,25450350,4,6,0,Inner Sphere,,2,,,,,,,,6,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,15,"15,6",250,2,Ferro Fibroso,Double,30,,40,65,XL Engine,Compra,NO
Cerberus MR-6B Cerberus,95,Asalto,3067,2128,27009850,4,6,0,Inner Sphere,,,,,,,2,,,4,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,15,"16,8",268,2,Ferro Fibroso,Double,30,,42,59,XL Engine,Compra,NO
Cerberus MR-6BL Cerberus,95,Asalto,3067,2260,25754050,4,6,0,Inner Sphere,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,12,"17,0",272,2,Estandar,Double,24,,18,54,XL Engine,Compra,NO
Cerberus MR-V2 Cerberus,95,Asalto,3054,2001,25104250,4,6,0,Inner Sphere,,2,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,12,"12,3",197,2,Ferro Fibroso,Double,24,,18,58,XL Engine,Compra,NO
Cerberus MR-V3 Cerberus,95,Asalto,3062,2252,25394300,4,6,0,Inner Sphere,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,12,"16,5",264,2,Estandar,Double,24,,18,54,XL Engine,Compra,NO
Cestus CTS-6X Cestus,65,Pesado,2766,1424,11353760,4,6,0,Inner Sphere,,,,,2,,,,,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,"13,2",211,2,Estandar,Single,14,,44,48,XL Engine,Compra,NO
Cestus CTS-6Y-EC Cestus,65,Pesado,2822,1783,11542660,4,6,0,Mixed,,,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,14,"13,2",211,2,Estandar,Double,28,,27,41,XL Engine,Compra,NO
Cestus CTS-6Y Cestus,65,Pesado,2766,1701,11288360,4,6,0,Inner Sphere,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,12,"13,2",211,2,Estandar,Double,24,,23,41,XL Engine,Compra,NO
Cestus CTS-6Z Cestus,65,Pesado,3058,1560,11432960,4,6,0,Inner Sphere,,,,2,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,"13,2",211,2,Estandar,Double,32,,42,46,XL Engine,Compra,NO
Cestus CTS-7A Cestus,65,Pesado,3070,1519,12162360,4,6,0,Inner Sphere,,,,,,,2,,,2,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,1,,,,,,12,"13,2",211,2,Estandar,Double,24,,30,58,XL Engine,Compra,NO
Chaffee BT1 ServiceMech Chaffee,15,Ligero,3081,212,816279,5,8,0,Inner Sphere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"3,0",48,2,Estandar,Single,1,,0,0,Fuel-Cell Engine,Compra,NO
Chameleon CLN-7V Chameleon,50,Medio,3056,1042,4623125,6,9,6,Inner Sphere,,2,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,"7,0",112,2,Estandar,Single,10,,17,31,Fusion Engine,Compra,NO
Chameleon CLN-7W Chameleon,50,Medio,3057,1243,4857000,6,9,6,Inner Sphere,,,,1,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,"9,0",144,2,Estandar,Double,20,,19,19,Fusion Engine,Compra,NO
Chameleon CLN-7Z Chameleon,50,Medio,3061,1527,9538500,6,9,6,Inner Sphere,,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,"10,5",168,2,Estandar,Double,22,,28,24,XL Engine,Compra,NO
Chameleon TRC-4B Chameleon,50,Medio,2510,999,4625500,6,9,6,Inner Sphere,,2,4,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,"6,0",96,2,Estandar,Single,10,,18,34,Fusion Engine,Compra,NO
Champion C Champion,60,Pesado,2867,2191,12598000,5,8,5,Clan,,,,,,,2,,2,2,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,10,"12,0",192,2,Ferro Fibroso,Double,20,,28,50,XL Engine,Compra,NO
Champion CHP-1N Champion,60,Pesado,2602,1233,5702800,5,8,0,Inner Sphere,,,2,2,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,10,"8,9",143,2,Ferro Fibroso,Single,10,,14,38,Fusion Engine,Compra,NO
Champion CHP-1N2 Champion,60,Pesado,2667,1233,5798800,5,8,0,Inner Sphere,,,2,2,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,10,"8,9",143,2,Ferro Fibroso,Double,20,,14,38,Fusion Engine,Compra,NO
Champion CHP-1Nb Champion,60,Pesado,2750,1632,5736000,5,8,0,Inner Sphere,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,10,"8,9",143,2,Ferro Fibroso,Double,20,,16,25,Fusion Engine,Compra,NO
Champion CHP-2N Salazar Champion,60,Pesado,2810,1232,4818600,4,6,0,Inner Sphere,,,,4,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,14,"11,5",184,2,Estandar,Single,14,,19,42,Fusion Engine,Compra,NO
Champion CHP-2N Champion,60,Pesado,2810,1116,5047800,5,8,0,Inner Sphere,,,2,2,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,10,"8,0",128,2,Estandar,Single,10,,15,38,Fusion Engine,Compra,NO
Champion CHP-3N Champion,60,Pesado,3052,1400,11862800,5,8,0,Inner Sphere,,,2,2,2,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,10,"8,4",134,2,Ferro Fibroso,Double,20,,30,54,XL Engine,Compra,NO
Champion CHP-3P Champion,60,Pesado,3062,1503,13172600,5,8,0,Inner Sphere,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,11,"10,5",168,2,Estandar,Double,22,,24,30,XL Engine,Compra,NO
